Id,Name,ParentCategoryId
86817a8c-fcc9-4d70-820e-5d56f16a8eab,Meat & Cheese Snacks,a2f0ca2b-9b15-458c-8cf2-310f69eb5899
62b3c884-0881-432d-a095-dc64ec31ea21,Maternity,cfd69fdf-9c35-47e6-bf8b-fc99e0ab1e1a
1b30cc89-6b24-46f6-bd0f-fabf24bd9b8a,Makeup & Accessories,c44bbe12-558d-4a90-97c0-ef08c01abe5f
30b722bc-29b3-475a-94ee-6993e55512b2,Low & No Alcohol,85ca5c67-e914-4edf-b7b4-02bd515ad729
7d53aba6-b888-4c76-9f40-45c9636a62e5,Lightbulbs,37e98de1-ff36-4701-b43a-8e050f64a71b
f0329fda-ec04-4255-9e14-c27b40bc0d16,Laundry,37e98de1-ff36-4701-b43a-8e050f64a71b
600d8f0a-efdd-42fd-98df-016372293384,Kitchen Roll,37e98de1-ff36-4701-b43a-8e050f64a71b
de551c2b-62bd-4a6e-aeb1-2e4a9dda5d3f,Kid's Zone,c44bbe12-558d-4a90-97c0-ef08c01abe5f
6e630ae6-5fac-4f33-953c-ffb22abeb240,Kids Drinks,bd2051a0-23d7-463c-847c-037c6603fc5c
56c397e9-a85c-4a6b-b5b4-2d34aa628d0e,Juice,bd2051a0-23d7-463c-847c-037c6603fc5c
406766c1-1137-4ad0-abe7-46fc6b428dd5,Jams & Spreads,96607918-0fb6-406e-8198-292c5febc1fb
291237f8-dc5c-4ba0-ab65-aa33343152a2,Instant Meals & Noodles,96607918-0fb6-406e-8198-292c5febc1fb
6e00b681-e1ee-48e0-97af-5130f035fe96,Incontinence Care,c44bbe12-558d-4a90-97c0-ef08c01abe5f
926c7eb5-6d06-4be3-8994-59197af3f2c9,Ice Cubes,63de893f-68f8-4f68-afe5-9096263a9c55
40b1946b-a00d-4d55-ad71-65dfd67ee630,Household Cleaning,37e98de1-ff36-4701-b43a-8e050f64a71b
68811e4a-ee51-4153-ba91-ea664e595ee6,Hot Chocolate & Malt Drinks,bd2051a0-23d7-463c-847c-037c6603fc5c
dce70b0b-18b4-4e27-89e1-71088063cd9c,Hosiery,c44bbe12-558d-4a90-97c0-ef08c01abe5f
56fb5af7-283d-49bd-b6d2-c3866c75ccea,Home Accessories,5999b5b0-6d49-4648-b6ef-eae2f512641d
e300f847-6237-4db5-b0ec-8d8a06861abd,Health & Pharmacy,c44bbe12-558d-4a90-97c0-ef08c01abe5f
bbbb612c-f11b-4a58-880d-b001558c86f4,Hair Care,c44bbe12-558d-4a90-97c0-ef08c01abe5f
97771343-52f5-4080-988c-39fcd86a06cd,Furniture,5999b5b0-6d49-4648-b6ef-eae2f512641d
c64c3a17-3b16-4fce-b6b6-faca97ece64b,Frozen World Foods & Halal,63de893f-68f8-4f68-afe5-9096263a9c55
5da1f8d5-974b-456a-ad22-60d7f556b081,Frozen Vegetarian & Vegan,27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
bff82aa2-9527-43b7-bc12-a285c5ac343e,Frozen Vegetarian & Vegan,63de893f-68f8-4f68-afe5-9096263a9c55
e397912a-f732-43aa-afda-24390f621bdb,Frozen Vegetables,63de893f-68f8-4f68-afe5-9096263a9c55
59a6287f-e4ba-4dbd-9582-c127fd8285fe,Frozen Sides & Potatoes,63de893f-68f8-4f68-afe5-9096263a9c55
a268b61b-39a1-4b25-b29f-f85884eb7988,Frozen Ready Meals,27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
46c2a4a5-4e3b-493f-9f1c-3dcaf0bf39d2,Frozen Ready Meals,63de893f-68f8-4f68-afe5-9096263a9c55
95c5eeca-fd08-44ab-a47e-4256cb8beb35,Frozen Pizza & Garlic Bread,63de893f-68f8-4f68-afe5-9096263a9c55
4fa96cc2-f896-45c6-bfc6-4a31c0b473e6,Frozen Pies & Pastry,63de893f-68f8-4f68-afe5-9096263a9c55
3f2c47c8-7a57-4b3c-be5c-10947a10da31,Frozen Party Food,63de893f-68f8-4f68-afe5-9096263a9c55
4ff8e467-4200-41ad-9587-280b23c9eb0d,Frozen Meat & Poultry,63de893f-68f8-4f68-afe5-9096263a9c55
b83fa0c3-2349-4477-8d3e-0528dcf305ed,Frozen Fruit & Pastry,63de893f-68f8-4f68-afe5-9096263a9c55
0c2ee03b-86f1-4862-95cc-45eac66f4e3b,Frozen Free From,63de893f-68f8-4f68-afe5-9096263a9c55
a2b82dfd-4a95-41b9-bcf1-12aaa2125703,Frozen Fish & Seafood,63de893f-68f8-4f68-afe5-9096263a9c55
5b10fc41-ca1e-462e-8462-f020acf7bac5,Frozen Desserts & Ice Cream,63de893f-68f8-4f68-afe5-9096263a9c55
b6310e24-6c72-4f26-a41b-cf65ed64ae94,Fresh Vegetables,27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
aef8dbd5-f4f0-4cc1-85c3-41b9da193b81,Fresh Salads & Herbs,27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
91f6a440-5bd4-40f9-ad8e-999820281a5a,"Fresh Pizza, Pasta & Sauces",27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
b94406df-be02-4f1a-ae50-886093988cc3,Fresh Meat & Poultry,27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
6f6f6644-8439-4822-b1e2-84bbd7268239,Fresh Fruit,27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
dfe4b2d7-0ca7-481d-9b97-0b7981f0ef03,Free From Bakery,4a4df996-2d61-424d-9af1-7fdfef76e63e
1138dbb5-5055-47ab-9e54-df18a1bfd28f,Free From (Cupboard),96607918-0fb6-406e-8198-292c5febc1fb
47d598ae-2a57-4cfa-b34f-902804269eb5,Fragrance & Gifting,c44bbe12-558d-4a90-97c0-ef08c01abe5f
8a476d64-c728-4b6e-99f5-9f0094191e9b,Food To Go & Soups,27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
fa68a842-58b3-4547-9bcc-535bb852466e,Food Storage & Wraps,37e98de1-ff36-4701-b43a-8e050f64a71b
d5e23573-37f9-46b4-a110-c98cd8169a58,"Flowers, Plants & Outdoor",5999b5b0-6d49-4648-b6ef-eae2f512641d
53e76188-3fb9-4698-b238-e2b21aa87675,Fizzy Drinks,bd2051a0-23d7-463c-847c-037c6603fc5c
7a4856fd-70c6-44f9-a06b-4c4a08613179,Feeding Accessories,cfd69fdf-9c35-47e6-bf8b-fc99e0ab1e1a
482ff083-617f-4228-8bd0-51a59fb8899d,Facial Skincare,c44bbe12-558d-4a90-97c0-ef08c01abe5f
7530501c-4b04-4d49-a8cb-f88b613e1718,Electricals & Office,5999b5b0-6d49-4648-b6ef-eae2f512641d
42782df5-8747-4717-b8bc-1ef8e7752c06,Dummies & Teethers,cfd69fdf-9c35-47e6-bf8b-fc99e0ab1e1a
e584ba62-5fc5-4f45-8d85-11c43dc10856,"Doughnuts, Cookies & Muffins",4a4df996-2d61-424d-9af1-7fdfef76e63e
fcd23277-db43-4aa6-a3ea-f9a577377d26,Dog Supplies,051f4a18-58ca-438b-8a3c-242c32f41748
a5f41506-53b8-445f-a034-df689256679f,DIY & Car Care,5999b5b0-6d49-4648-b6ef-eae2f512641d
ac1bdebc-6fc4-45f5-8cde-816dc810ba68,Dishwashing,37e98de1-ff36-4701-b43a-8e050f64a71b
cfb771e8-3bbe-4c1c-8559-c6fb1b2973d2,Deodorants & Body Sprays,c44bbe12-558d-4a90-97c0-ef08c01abe5f
db9a1f6f-b10b-43db-a93c-bf0f06845db0,Dental Care,c44bbe12-558d-4a90-97c0-ef08c01abe5f
df6ca835-0e9e-4b49-994e-d6dd15e87011,Dairy Alternatives,27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
792402fb-bb1b-403e-a5c3-a25012f15aca,"Crisps, Snacks & Nuts",a2f0ca2b-9b15-458c-8cf2-310f69eb5899
0a533253-5ed1-437b-9ccb-ecfe842d2b1c,Cookware & Dining,5999b5b0-6d49-4648-b6ef-eae2f512641d
8f54e134-2897-44d9-aee5-9fa7fe195f21,Cooking Sauces & Meal Kits,96607918-0fb6-406e-8198-292c5febc1fb
4cbd15e3-1d81-4466-a069-92cbcf38703b,"Cooked Meats, Deli & Dips",27dbcc1a-5d2b-4a40-9e24-50fbfce59aae
9f3f7660-e71b-4031-8073-d6c6c649f5fd,"Condiments, Sauces & Oils",96607918-0fb6-406e-8198-292c5febc1fb
9c23ec50-da94-4a80-88b3-3c8f0685da50,Coffee,bd2051a0-23d7-463c-847c-037c6603fc5c
c5397540-32d8-470a-83a6-f4fc7f07ecc2,Cleaning Equipment,37e98de1-ff36-4701-b43a-8e050f64a71b
