parent_category,subcategory_name,subcategory_url
Treats & Snacks,Yogurts,https://www.tesco.com/groceries/en-GB/shop/treats-and-snacks/yogurts
Treats & Snacks,Meat & Cheese Snacking,https://www.tesco.com/groceries/en-GB/shop/treats-and-snacks/meat-and-cheese-snacking
Treats & Snacks,"Dried Fruit, Nuts, Nutrient Powders & Seeds",https://www.tesco.com/groceries/en-GB/shop/treats-and-snacks/dried-fruit-nuts-nutrient-powders-and-seeds
Treats & Snacks,Crackers & Crispbreads,https://www.tesco.com/groceries/en-GB/shop/treats-and-snacks/crackers-and-crispbreads
Treats & Snacks,"Cake Bars, Slices & Bakes",https://www.tesco.com/groceries/en-GB/shop/treats-and-snacks/cake-bars-slices-and-bakes
Food Cupboard,"Dried Fruit, Nuts, Nutrient Powders & Seeds",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/dried-fruit-nuts-nutrient-powders-and-seeds
Food Cupboard,Cereals,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/cereals
Food Cupboard,"Chocolate, Sweets, Mints & Chewing Gum",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/chocolate-sweets-mints-and-chewing-gum
Food Cupboard,"Crisps, Snacks, Nuts & Popcorn",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/crisps-snacks-nuts-and-popcorn
Food Cupboard,Biscuits & Cereal Bars,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/biscuits-and-cereal-bars
Food Cupboard,Crackers & Crispbreads,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/crackers-and-crispbreads
Food Cupboard,Free From,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/free-from
Food Cupboard,"Tins, Cans & Packets",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/tins-cans-and-packets
Food Cupboard,"Dried Pasta, Rice, Noodles & Cous Cous",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/dried-pasta-rice-noodles-and-cous-cous
Food Cupboard,"Table Sauces, Olives, Pickles & Chutney",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/table-sauces-olives-pickles-and-chutney
Food Cupboard,World Foods,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/world-foods
Food Cupboard,"Jams, Sweet & Savoury Spreads",https://www.tesco.com/groceries/en-GB/shop/food-cupboard/jams-sweet-and-savoury-spreads
Food Cupboard,Desserts,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/desserts
Food Cupboard,Home Baking & Sugar,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/home-baking-and-sugar
Food Cupboard,Finest Food Cupboard,https://www.tesco.com/groceries/en-GB/shop/food-cupboard/finest-food-cupboard
Drinks,"Juices, Smoothies & Wellness Drinks",https://www.tesco.com/groceries/en-GB/shop/drinks/juices-smoothies-and-wellness-drinks
Drinks,Fizzy & Soft Drinks,https://www.tesco.com/groceries/en-GB/shop/drinks/fizzy-and-soft-drinks
Drinks,Water,https://www.tesco.com/groceries/en-GB/shop/drinks/water
Drinks,Squash & Cordial,https://www.tesco.com/groceries/en-GB/shop/drinks/squash-and-cordial
Drinks,Adult Soft Drinks & Mixers,https://www.tesco.com/groceries/en-GB/shop/drinks/adult-soft-drinks-and-mixers
Drinks,Kids Drinks,https://www.tesco.com/groceries/en-GB/shop/drinks/kids-drinks
Drinks,Sports & Energy Drinks,https://www.tesco.com/groceries/en-GB/shop/drinks/sports-and-energy-drinks
Drinks,Milk & Milkshakes,https://www.tesco.com/groceries/en-GB/shop/drinks/milk-and-milkshakes
Drinks,On The Go Drinks,https://www.tesco.com/groceries/en-GB/shop/drinks/on-the-go-drinks
Drinks,Tea,https://www.tesco.com/groceries/en-GB/shop/drinks/tea
Drinks,Coffee,https://www.tesco.com/groceries/en-GB/shop/drinks/coffee
Drinks,Hot Chocolate & Malted Drinks,https://www.tesco.com/groceries/en-GB/shop/drinks/hot-chocolate-and-malted-drinks
Drinks,Beer & Cider,https://www.tesco.com/groceries/en-GB/shop/drinks/beer-and-cider
Drinks,Wine,https://www.tesco.com/groceries/en-GB/shop/drinks/wine
Drinks,Spirits,https://www.tesco.com/groceries/en-GB/shop/drinks/spirits
Drinks,Alcohol Free & Low Alcohol Drinks,https://www.tesco.com/groceries/en-GB/shop/drinks/alcohol-free-and-low-alcohol-drinks
